Student_ID,Event_Name,Event_Type,Department,Year_of_Study,Gender,Event_Date,Rating,Overall_Satisfaction,Feedback_Comment
S1001,Data Science Seminar,Seminar,IT,SY,Male,4/24/2024,1,Dissatisfied,Not very engaging
S1002,Placement Guidance Seminar,Seminar,Training & Placement,FY,Male,1/17/2024,1,Very Dissatisfied,Too theoretical and boring
S1003,Web Development Bootcamp,Workshop,IT,SY,Female,10/14/2024,2,Dissatisfied,Too theoretical and boring
S1004,Web Development Bootcamp,Workshop,IT,SY,Female,1/4/2024,4,Satisfied,Enjoyed the event a lot
S1005,Cultural Fest,Cultural,Arts,TY,Male,4/20/2024,3,Neutral,Average event
S1006,Data Science Seminar,Seminar,IT,TY,Male,6/25/2024,4,Satisfied,Very informative and well organized
S1007,Entrepreneurship Seminar,Seminar,Management,TY,Female,2/10/2024,5,Satisfied,Very informative and well organized
S1008,Coding Hackathon,Workshop,Computer Science,TY,Male,4/26/2024,2,Dissatisfied,Poor time management
S1009,Web Development Bootcamp,Workshop,IT,TY,Male,8/20/2024,1,Very Dissatisfied,Sound system was bad
S1010,Cultural Fest,Cultural,Arts,FY,Male,5/16/2024,3,Neutral,Average event
S1011,Placement Guidance Seminar,Seminar,Training & Placement,TY,Male,7/13/2024,2,Very Dissatisfied,Needs better organization
S1012,Cultural Fest,Cultural,Arts,Final Year,Female,6/10/2024,1,Dissatisfied,Needs better organization
S1013,Data Science Seminar,Seminar,IT,Final Year,Female,4/18/2024,2,Very Dissatisfied,Too theoretical and boring
S1014,Entrepreneurship Seminar,Seminar,Management,TY,Female,5/6/2024,2,Dissatisfied,Not very engaging
S1015,Coding Hackathon,Workshop,Computer Science,Final Year,Male,3/11/2024,4,Very Satisfied,Amazing experience and great speakers
S1016,AI Workshop,Workshop,Computer Science,FY,Female,8/4/2024,1,Dissatisfied,Needs better organization
S1017,Music Night,Cultural,Arts,FY,Male,10/10/2024,5,Satisfied,Very practical and interactive session
S1018,Placement Guidance Seminar,Seminar,Training & Placement,TY,Female,2/27/2024,3,Neutral,Good but could be improved
S1019,Cyber Security Talk,Seminar,Computer Science,SY,Male,9/13/2024,4,Satisfied,Very informative and well organized
S1020,Robotics Workshop,Workshop,Mechanical,TY,Male,3/19/2024,5,Very Satisfied,Enjoyed the event a lot
S1021,Placement Guidance Seminar,Seminar,Training & Placement,FY,Male,9/7/2024,5,Satisfied,Very informative and well organized
S1022,Cultural Fest,Cultural,Arts,SY,Male,1/30/2024,3,Neutral,Average event
S1023,Data Science Seminar,Seminar,IT,Final Year,Male,3/6/2024,4,Very Satisfied,Very informative and well organized
S1024,Robotics Workshop,Workshop,Mechanical,SY,Female,4/18/2024,5,Satisfied,Enjoyed the event a lot
S1025,Music Night,Cultural,Arts,Final Year,Male,9/21/2024,3,Neutral,Decent session
S1026,Web Development Bootcamp,Workshop,IT,SY,Male,1/11/2024,2,Very Dissatisfied,Poor time management
S1027,AI Workshop,Workshop,Computer Science,FY,Female,2/4/2024,1,Dissatisfied,Poor time management
S1028,Data Science Seminar,Seminar,IT,SY,Male,9/5/2024,5,Satisfied,Excellent event learned many new skills
S1029,Coding Hackathon,Workshop,Computer Science,Final Year,Male,8/30/2024,5,Very Satisfied,Very practical and interactive session
S1030,Data Science Seminar,Seminar,IT,Final Year,Female,8/4/2024,1,Very Dissatisfied,Sound system was bad
S1031,AI Workshop,Workshop,Computer Science,FY,Male,6/22/2024,1,Very Dissatisfied,Poor time management
S1032,Web Development Bootcamp,Workshop,IT,Final Year,Male,3/12/2024,2,Very Dissatisfied,Too theoretical and boring
S1033,Robotics Workshop,Workshop,Mechanical,FY,Male,8/14/2024,4,Very Satisfied,Excellent event learned many new skills
S1034,Placement Guidance Seminar,Seminar,Training & Placement,Final Year,Female,3/26/2024,1,Dissatisfied,Poor time management
S1035,Entrepreneurship Seminar,Seminar,Management,Final Year,Male,3/25/2024,2,Dissatisfied,Sound system was bad
S1036,Music Night,Cultural,Arts,Final Year,Female,5/26/2024,3,Neutral,Decent session
S1037,Cyber Security Talk,Seminar,Computer Science,FY,Female,1/30/2024,2,Dissatisfied,Not very engaging
S1038,AI Workshop,Workshop,Computer Science,SY,Male,9/14/2024,1,Very Dissatisfied,Too theoretical and boring
S1039,Placement Guidance Seminar,Seminar,Training & Placement,SY,Female,2/4/2024,1,Dissatisfied,Needs better organization
S1040,Data Science Seminar,Seminar,IT,Final Year,Female,2/11/2024,5,Very Satisfied,Excellent event learned many new skills
S1041,Robotics Workshop,Workshop,Mechanical,Final Year,Male,5/15/2024,2,Dissatisfied,Not very engaging
S1042,Robotics Workshop,Workshop,Mechanical,Final Year,Male,1/5/2024,4,Very Satisfied,Amazing experience and great speakers
S1043,Data Science Seminar,Seminar,IT,TY,Male,3/8/2024,5,Satisfied,Excellent event learned many new skills
S1044,Web Development Bootcamp,Workshop,IT,Final Year,Female,3/21/2024,3,Neutral,Good but could be improved
S1045,Coding Hackathon,Workshop,Computer Science,SY,Female,2/23/2024,5,Satisfied,Very informative and well organized
S1046,Data Science Seminar,Seminar,IT,TY,Male,5/19/2024,1,Dissatisfied,Too theoretical and boring
S1047,Cultural Fest,Cultural,Arts,FY,Male,5/8/2024,2,Very Dissatisfied,Not very engaging
S1048,Music Night,Cultural,Arts,TY,Male,1/2/2024,3,Neutral,It was okay overall
S1049,Robotics Workshop,Workshop,Mechanical,FY,Male,10/14/2024,2,Very Dissatisfied,Sound system was bad
S1050,Data Science Seminar,Seminar,IT,SY,Female,7/8/2024,2,Dissatisfied,Too theoretical and boring
S1051,Cyber Security Talk,Seminar,Computer Science,TY,Male,1/21/2024,1,Very Dissatisfied,Not very engaging
S1052,Web Development Bootcamp,Workshop,IT,SY,Male,3/20/2024,1,Very Dissatisfied,Not very engaging
S1053,Cyber Security Talk,Seminar,Computer Science,Final Year,Male,6/19/2024,4,Very Satisfied,Very informative and well organized
S1054,Robotics Workshop,Workshop,Mechanical,Final Year,Male,1/20/2024,2,Very Dissatisfied,Poor time management
S1055,Web Development Bootcamp,Workshop,IT,SY,Male,4/26/2024,4,Satisfied,Amazing experience and great speakers
S1056,Web Development Bootcamp,Workshop,IT,TY,Female,2/5/2024,4,Satisfied,Amazing experience and great speakers
S1057,Placement Guidance Seminar,Seminar,Training & Placement,FY,Female,1/15/2024,4,Satisfied,Enjoyed the event a lot
S1058,Cyber Security Talk,Seminar,Computer Science,Final Year,Female,2/25/2024,5,Very Satisfied,Amazing experience and great speakers
S1059,Cultural Fest,Cultural,Arts,SY,Female,7/16/2024,4,Very Satisfied,Enjoyed the event a lot
S1060,AI Workshop,Workshop,Computer Science,Final Year,Male,7/5/2024,4,Very Satisfied,Very informative and well organized
S1061,Cultural Fest,Cultural,Arts,TY,Female,6/2/2024,5,Very Satisfied,Amazing experience and great speakers
S1062,Cultural Fest,Cultural,Arts,Final Year,Female,4/8/2024,4,Very Satisfied,Amazing experience and great speakers
S1063,Cyber Security Talk,Seminar,Computer Science,FY,Female,7/26/2024,5,Satisfied,Enjoyed the event a lot
S1064,Robotics Workshop,Workshop,Mechanical,Final Year,Female,8/26/2024,2,Very Dissatisfied,Sound system was bad
S1065,Web Development Bootcamp,Workshop,IT,TY,Female,2/13/2024,5,Very Satisfied,Very practical and interactive session
S1066,Data Science Seminar,Seminar,IT,SY,Male,4/11/2024,2,Dissatisfied,Not very engaging
S1067,AI Workshop,Workshop,Computer Science,Final Year,Male,8/21/2024,2,Dissatisfied,Sound system was bad
S1068,Music Night,Cultural,Arts,FY,Male,3/16/2024,4,Very Satisfied,Very practical and interactive session
S1069,Music Night,Cultural,Arts,SY,Male,1/26/2024,2,Very Dissatisfied,Needs better organization
S1070,Entrepreneurship Seminar,Seminar,Management,Final Year,Female,8/14/2024,2,Very Dissatisfied,Sound system was bad
S1071,Cyber Security Talk,Seminar,Computer Science,TY,Female,5/6/2024,4,Satisfied,Very practical and interactive session
S1072,Web Development Bootcamp,Workshop,IT,TY,Male,2/9/2024,3,Neutral,Decent session
S1073,Robotics Workshop,Workshop,Mechanical,FY,Male,10/3/2024,3,Neutral,Good but could be improved
S1074,Cyber Security Talk,Seminar,Computer Science,FY,Female,4/19/2024,2,Dissatisfied,Sound system was bad
S1075,Music Night,Cultural,Arts,Final Year,Male,8/26/2024,3,Neutral,Satisfactory experience
S1076,Web Development Bootcamp,Workshop,IT,Final Year,Female,10/21/2024,4,Very Satisfied,Very practical and interactive session
S1077,AI Workshop,Workshop,Computer Science,Final Year,Male,7/18/2024,3,Neutral,Good but could be improved
S1078,Entrepreneurship Seminar,Seminar,Management,FY,Female,9/5/2024,2,Very Dissatisfied,Not very engaging
